%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8
90047000000,0,150.0,-1.8041124150158794e-14,-7.105427357601002e-15,-1.454392162258955e-14,149.99999999999997,7.105427357601002e-15,-7.105427357601002e-15,8.881784197001252e-15,149.99999999999997
90048000000,0,149.99999999999997,2.1038726316646716e-14,1.0658141036401503e-14,2.098321516541546e-14,149.99999999999997,1.9984014443252818e-14,1.0658141036401503e-14,1.9984014443252818e-14,149.99999999999997
90049000000,0,150.00000000000003,2.1038726316646716e-14,-3.907985046680551e-14,1.3877787807814457e-14,150.0,-5.329070518200751e-15,-3.907985046680551e-14,-5.773159728050814e-15,150.0
90050000000,0,150.00000000000003,1.4988010832439613e-15,4.973799150320701e-14,-3.3306690738754696e-16,150.0,-2.7977620220553945e-14,5.3290705182007514e-14,-2.7533531010703882e-14,150.0
90051000000,0,149.99999999999997,1.2156942119645464e-14,7.105427357601002e-15,2.631228568361621e-14,150.00000000000003,-9.325873406851315e-15,1.0658141036401503e-14,-7.105427357601002e-15,150.00000000000003
90052000000,0,150.0,2.6367796834847468e-14,7.105427357601002e-15,1.2101430968414206e-14,150.0,-3.9968028886505635e-15,7.105427357601002e-15,-7.105427357601002e-15,150.00000000000003
90053000000,0,150.0,1.2156942119645464e-14,2.842170943040401e-14,4.9960036108132044e-15,149.99999999999997,-7.549516567451064e-15,2.842170943040401e-14,-7.549516567451064e-15,150.00000000000003
90054000000,0,150.00000000000003,5.9396931817445875e-15,1.4210854715202004e-14,6.772360450213455e-15,150.0,-1.7763568394002505e-15,1.4210854715202004e-14,-1.7763568394002505e-15,150.00000000000003
90055000000,0,150.0,-1.6264767310758543e-14,7.105427357601002e-15,-1.63202784619898e-14,149.99999999999997,1.3766765505351941e-14,7.105427357601002e-15,1.4210854715202004e-14,150.00000000000003
90056000000,0,150.0,-1.6264767310758543e-14,-1.4210854715202004e-14,1.2101430968414206e-14,150.0,1.021405182655144e-14,-1.0658141036401503e-14,1.2434497875801753e-14,150.00000000000003
90057000000,0,150.0,1.2156942119645464e-14,7.105427357601002e-15,1.2101430968414206e-14,150.0,-4.440892098500626e-16,7.105427357601002e-15,0.0,150.00000000000003
90058000000,0,150.00000000000003,8.604228440844963e-15,0.0,8.548717289613705e-15,150.0,4.440892098500626e-16,0.0,8.881784197001252e-16,150.00000000000003
90059000000,0,150.00000000000003,4.057865155004947e-14,-2.842170943040401e-14,2.631228568361621e-14,150.00000000000003,-1.9984014443252818e-14,-2.842170943040401e-14,-1.9539925233402755e-14,150.00000000000003
90060000000,0,150.0,1.8318679906315083e-15,5.684341886080802e-14,5.551115123125783e-17,150.0,3.552713678800501e-15,5.3290705182007514e-14,3.552713678800501e-15,150.0
90061000000,0,150.00000000000003,5.551115123125783e-17,-3.552713678800501e-15,1.426636586643326e-14,149.99999999999997,7.549516567451064e-15,-3.552713678800501e-15,9.325873406851315e-15,150.0
90062000000,0,150.0,-3.036459972349803e-14,-2.842170943040401e-14,-3.036459972349803e-14,150.00000000000003,4.218847493575595e-15,-2.4868995751603507e-14,4.440892098500626e-15,150.0
90063000000,0,150.00000000000003,7.16093850883226e-15,3.197442310920451e-14,7.16093850883226e-15,150.0,1.199040866595169e-14,3.197442310920451e-14,1.199040866595169e-14,150.0
